Feature,Gain,Cover,Frequency
`Expression Public 25Q3 MYCL`,0.000106199600871728,0.0026246719160105,0.00365497076023392
`Expression Public 25Q3 PPP2R1B`,9.98421056171445e-05,0.00250536864710093,0.00292397660818713
`Expression Public 25Q3 POLE`,9.73205476152309e-05,0.00264455579416209,0.00219298245614035
`Expression Public 25Q3 TEAD2`,9.49123013052915e-05,0.00236618150003977,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 PPP2R1A`,9.14653068900254e-05,0.000457329197486678,0.000730994152046784
`Expression Public 25Q3 FRS2`,8.4647980785283e-05,0.00212757496222063,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 COL4A2`,8.00597030057006e-05,0.000994193907579734,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 PRKCA`,7.9132538725456e-05,0.00399665950847053,0.00365497076023392
`Omics Absolute CN Gene Public 24Q4 CCND1`,7.56136877825707e-05,0.00157082637397598,0.00219298245614035
`Expression Public 25Q3 MXI1`,6.9494860962981e-05,0.00147140698321801,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 MSH3`,6.92471803380401e-05,0.00097431002942814,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 NOTCH3`,6.80733539649173e-05,0.000278374294122326,0.000730994152046784
`Expression Public 25Q3 SYK`,6.7243209410662e-05,0.00316153662610356,0.00365497076023392
`Expression Public 25Q3 RHOC`,6.53285646545854e-05,0.00316153662610356,0.0043859649122807
`Expression Public 25Q3 AGO2`,6.31226924808698e-05,0.00248548476894934,0.00365497076023392
`Expression Public 25Q3 FGFR3`,6.23044474730791e-05,0.0037580529706514,0.00365497076023392
`Expression Public 25Q3 FOSL2`,6.15465550370209e-05,0.000457329197486678,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 RPTOR`,6.11099594495417e-05,0.000377793684880299,0.000730994152046784
`Expression Public 25Q3 TEAD1`,5.6524228000116e-05,0.00161059413027917,0.00219298245614035
`Expression Public 25Q3 ERBB2`,5.36989428277047e-05,0.00393700787401575,0.0043859649122807
`Expression Public 25Q3 PLCB1`,5.33662920748375e-05,0.00453352421856359,0.0043859649122807
`Omics Absolute CN Gene Public 24Q4 VEGFA`,5.08747853157914e-05,0.000894774516821761,0.000730994152046784
`Expression Public 25Q3 PIK3R1`,4.93622652026973e-05,0.00445398870595721,0.0043859649122807
`Expression Public 25Q3 SMAD2`,4.60119676751328e-05,0.00105384554203452,0.00146198830409357
`Expression Public 25Q3 FGFR2`,4.5170355541136e-05,0.00131233595800525,0.00146198830409357
`Expression Public 25Q3 PRKCZ`,4.27105915157043e-05,0.00161059413027917,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 STAT5B`,4.01064914935496e-05,0.00284339457567804,0.00219298245614035
`Expression Public 25Q3 CBL`,3.94141716060451e-05,0.00157082637397598,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 AGO2`,3.73772825408642e-05,0.000914658394973356,0.00146198830409357
